Reason_type1,Reason_type2,Reason_type3,Reason_type4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,day of the Week,
FALSE,FALSE,FALSE,TRUE,07-07-2015,289,36,33,239.554,30,0,2,1,4,7,1,
FALSE,FALSE,FALSE,FALSE,14-07-2015,118,13,50,239.554,31,0,1,0,0,7,1,
FALSE,FALSE,FALSE,TRUE,15-07-2015,179,51,38,239.554,31,0,0,0,2,7,2,
TRUE,FALSE,FALSE,FALSE,16-07-2015,279,5,39,239.554,24,0,2,0,4,7,3,
FALSE,FALSE,FALSE,TRUE,23-07-2015,289,36,33,239.554,30,0,2,1,2,7,3,
FALSE,FALSE,FALSE,TRUE,10-07-2015,179,51,38,239.554,31,0,0,0,2,7,4,
FALSE,FALSE,FALSE,TRUE,17-07-2015,361,52,28,239.554,27,0,1,4,8,7,4,
FALSE,FALSE,FALSE,TRUE,24-07-2015,260,50,36,239.554,23,0,4,0,4,7,4,
FALSE,FALSE,TRUE,FALSE,06-07-2015,155,12,34,239.554,25,0,2,0,40,7,0,
FALSE,FALSE,FALSE,TRUE,13-07-2015,235,11,37,239.554,29,1,1,1,8,7,0,
TRUE,FALSE,FALSE,FALSE,20-07-2015,260,50,36,239.554,23,0,4,0,8,7,0,
TRUE,FALSE,FALSE,FALSE,14-07-2015,260,50,36,239.554,23,0,4,0,8,7,1,
TRUE,FALSE,FALSE,FALSE,15-07-2015,260,50,36,239.554,23,0,4,0,8,7,2,
TRUE,FALSE,FALSE,FALSE,15-07-2015,179,51,38,239.554,31,0,0,0,1,7,2,
FALSE,FALSE,FALSE,TRUE,15-07-2015,179,51,38,239.554,31,0,0,0,4,7,2,
TRUE,FALSE,FALSE,FALSE,17-07-2015,246,25,41,239.554,23,0,0,0,8,7,4,
FALSE,FALSE,FALSE,TRUE,17-07-2015,179,51,38,239.554,31,0,0,0,2,7,4,
FALSE,FALSE,TRUE,FALSE,27-07-2015,179,51,38,239.554,31,0,0,0,8,7,0,
TRUE,FALSE,FALSE,FALSE,30-07-2015,189,29,33,239.554,25,0,2,2,8,7,3,
FALSE,FALSE,FALSE,TRUE,05-08-2015,248,25,47,205.917,32,0,2,1,2,8,2,
TRUE,FALSE,FALSE,FALSE,12-08-2015,330,16,28,205.917,25,1,0,0,8,8,2,
TRUE,FALSE,FALSE,FALSE,03-08-2015,179,51,38,205.917,31,0,0,0,1,8,0,
TRUE,FALSE,FALSE,FALSE,10-08-2015,361,52,28,205.917,27,0,1,4,40,8,0,
FALSE,FALSE,FALSE,TRUE,14-08-2015,260,50,36,205.917,23,0,4,0,4,8,4,
FALSE,FALSE,TRUE,FALSE,17-08-2015,289,36,33,205.917,30,0,2,1,8,8,0,
FALSE,FALSE,FALSE,TRUE,24-08-2015,361,52,28,205.917,27,0,1,4,7,8,0,
FALSE,FALSE,FALSE,TRUE,04-08-2015,289,36,33,205.917,30,0,2,1,1,8,1,
FALSE,FALSE,FALSE,TRUE,12-08-2015,157,27,29,205.917,22,0,0,0,4,8,2,
FALSE,FALSE,TRUE,FALSE,19-08-2015,289,36,33,205.917,30,0,2,1,8,8,2,
FALSE,FALSE,FALSE,TRUE,28-08-2015,179,51,38,205.917,31,0,0,0,2,8,4,
FALSE,FALSE,TRUE,FALSE,17-08-2015,179,51,38,205.917,31,0,0,0,8,8,0,
FALSE,FALSE,TRUE,FALSE,27-08-2015,235,29,48,205.917,33,0,1,5,8,8,3,
FALSE,FALSE,FALSE,TRUE,27-08-2015,235,11,37,205.917,29,1,1,1,4,8,3,
FALSE,FALSE,TRUE,FALSE,17-08-2015,235,29,48,205.917,33,0,1,5,8,8,0,
FALSE,FALSE,FALSE,TRUE,17-08-2015,179,51,38,205.917,31,0,0,0,2,8,0,
FALSE,FALSE,FALSE,TRUE,17-08-2015,361,52,28,205.917,27,0,1,4,1,8,0,
FALSE,FALSE,FALSE,TRUE,04-08-2015,289,36,33,205.917,30,0,2,1,8,8,1,
TRUE,FALSE,FALSE,FALSE,20-08-2015,291,50,32,205.917,23,0,0,0,4,8,3,
FALSE,FALSE,FALSE,TRUE,21-08-2015,235,29,48,205.917,33,0,1,5,8,8,4,
FALSE,FALSE,FALSE,TRUE,28-08-2015,260,50,36,205.917,23,0,4,0,4,8,4,
FALSE,FALSE,FALSE,TRUE,01-09-2015,184,42,27,241.476,21,0,0,0,2,9,1,
FALSE,FALSE,FALSE,TRUE,07-09-2015,118,10,37,241.476,28,0,0,0,4,9,0,
FALSE,FALSE,FALSE,TRUE,01-09-2015,179,51,38,241.476,31,0,0,0,4,9,1,
FALSE,FALSE,TRUE,FALSE,08-09-2015,235,20,43,241.476,38,0,1,0,8,9,1,
FALSE,FALSE,FALSE,TRUE,09-09-2015,155,12,34,241.476,25,0,2,0,2,9,2,
FALSE,FALSE,FALSE,TRUE,13-09-2015,118,10,37,241.476,28,0,0,0,3,9,6,
FALSE,FALSE,FALSE,TRUE,14-09-2015,179,51,38,241.476,31,0,0,0,3,9,0,
FALSE,FALSE,FALSE,TRUE,24-09-2015,291,31,40,241.476,25,0,1,1,4,9,3,
FALSE,FALSE,FALSE,TRUE,04-09-2015,260,50,36,241.476,23,0,4,0,8,9,4,
TRUE,FALSE,FALSE,FALSE,14-09-2015,291,31,40,241.476,25,0,1,1,32,9,0,
FALSE,FALSE,FALSE,FALSE,21-09-2015,260,50,36,241.476,23,0,4,0,0,9,0,
FALSE,FALSE,FALSE,FALSE,28-09-2015,225,26,28,241.476,24,0,1,2,0,9,0,
FALSE,FALSE,FALSE,TRUE,08-09-2015,225,26,28,241.476,24,0,1,2,2,9,1,
FALSE,FALSE,FALSE,TRUE,15-09-2015,118,10,37,241.476,28,0,0,0,2,9,1,
FALSE,FALSE,FALSE,FALSE,22-09-2015,289,36,33,241.476,30,0,2,1,0,9,1,
FALSE,FALSE,FALSE,FALSE,29-09-2015,118,13,50,241.476,31,0,1,0,0,9,1,
FALSE,FALSE,TRUE,FALSE,16-09-2015,225,26,28,241.476,24,0,1,2,3,9,2,
FALSE,FALSE,FALSE,TRUE,23-09-2015,179,51,38,241.476,31,0,0,0,3,9,2,
FALSE,FALSE,FALSE,FALSE,30-09-2015,369,17,31,241.476,25,0,3,0,0,9,2,
