Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Reason_type1,Reason_type2,Reason_type3,Reason_type4
07/07/2015,289,36,33,239.554,30,1,2,1,4,False,False,False,True
14/07/2015,118,13,50,239.554,31,1,1,0,0,False,False,False,False
15/07/2015,179,51,38,239.554,31,1,0,0,2,False,False,False,True
16/07/2015,279,5,39,239.554,24,1,2,0,4,True,False,False,False
23/07/2015,289,36,33,239.554,30,1,2,1,2,False,False,False,True
10/07/2015,179,51,38,239.554,31,1,0,0,2,False,False,False,True
17/07/2015,361,52,28,239.554,27,1,1,4,8,False,False,False,True
24/07/2015,260,50,36,239.554,23,1,4,0,4,False,False,False,True
06/07/2015,155,12,34,239.554,25,1,2,0,40,False,False,True,False
13/07/2015,235,11,37,239.554,29,3,1,1,8,False,False,False,True
20/07/2015,260,50,36,239.554,23,1,4,0,8,True,False,False,False
14/07/2015,260,50,36,239.554,23,1,4,0,8,True,False,False,False
15/07/2015,260,50,36,239.554,23,1,4,0,8,True,False,False,False
15/07/2015,179,51,38,239.554,31,1,0,0,1,True,False,False,False
15/07/2015,179,51,38,239.554,31,1,0,0,4,False,False,False,True
17/07/2015,246,25,41,239.554,23,1,0,0,8,True,False,False,False
17/07/2015,179,51,38,239.554,31,1,0,0,2,False,False,False,True
27/07/2015,179,51,38,239.554,31,1,0,0,8,False,False,True,False
30/07/2015,189,29,33,239.554,25,1,2,2,8,True,False,False,False
05/08/2015,248,25,47,205.917,32,1,2,1,2,False,False,False,True
12/08/2015,330,16,28,205.917,25,2,0,0,8,True,False,False,False
03/08/2015,179,51,38,205.917,31,1,0,0,1,True,False,False,False
10/08/2015,361,52,28,205.917,27,1,1,4,40,True,False,False,False
14/08/2015,260,50,36,205.917,23,1,4,0,4,False,False,False,True
17/08/2015,289,36,33,205.917,30,1,2,1,8,False,False,True,False
24/08/2015,361,52,28,205.917,27,1,1,4,7,False,False,False,True
04/08/2015,289,36,33,205.917,30,1,2,1,1,False,False,False,True
12/08/2015,157,27,29,205.917,22,1,0,0,4,False,False,False,True
19/08/2015,289,36,33,205.917,30,1,2,1,8,False,False,True,False
28/08/2015,179,51,38,205.917,31,1,0,0,2,False,False,False,True
17/08/2015,179,51,38,205.917,31,1,0,0,8,False,False,True,False
27/08/2015,235,29,48,205.917,33,1,1,5,8,False,False,True,False
27/08/2015,235,11,37,205.917,29,3,1,1,4,False,False,False,True
17/08/2015,235,29,48,205.917,33,1,1,5,8,False,False,True,False
17/08/2015,179,51,38,205.917,31,1,0,0,2,False,False,False,True
17/08/2015,361,52,28,205.917,27,1,1,4,1,False,False,False,True
